The value of exports by month (FOB/CIF) 2011-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011M01;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M08;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2022M01;2022M02;2022M03;2022M04;2022M05;2022M06;2022M07;2022M08;2022M09;2022M10;2022M11;2022M12;2023M01;2023M02;2023M03;2023M04;2023M05;2023M06;2023M07;2023M08;2023M09;2023M10;2023M11;2023M12;2024M01;2024M02;2024M03;2024M04;2024M05;2024M06;2024M07;2024M08;2024M09;2024M10;2024M11;2024M12;2025M01;2025M02;2025M03;2025M04;2025M05;2025M06;2025M07
Exported agricultural products;548,80;475,60;426,40;297,50;187,10;215,70;247,70;216,40;315,60;1093,30;810,50;1775,90;1034,40;784,70;552,60;416,80;260,60;282,70;339,80;293,90;446,30;1103,50;1228,60;918,20;1514,60;869,70;456,70;377,60;394,00;175,80;517,00;227,70;565,70;1003,00;1307,80;925,80;685,50;558,40;436,20;456,50;232,00;213,10;249,40;243,50;519,50;942,30;900,70;813,50;501,80;709,90;643,70;340,30;257,40;256,20;448,70;175,90;505,00;756,40;892,00;789,70;713,70;810,00;506,60;489,80;369,90;443,70;302,70;456,60;607,10;772,20;934,50;834,40;643,40;494,10;287,00;315,70;345,20;404,40;237,20;483,30;356,00;910,40;873,00;883,90;686,50;688,20;422,70;233,40;516,70;519,20;252,50;305,80;545,60;955,80;1304,90;883,70;640,60;326,40;308,60;450,60;311,60;213,90;286,90;284,50;505,10;720,20;1194,50;620,80;311,70;483,00;509,30;442,20;318,20;265,50;182,70;326,40;544,60;1007,40;871,30;741,60;655,40;1051,50;1115,90;595,70;715,20;449,20;360,10;453,50;556,90;1327,60;1115,70;690,50;935,30;514,20;869,10;635,40;465,40;388,50;286,20;820,80;698,60;894,20;922,20;1067,60;1454,90;682,40;760,20;336,50;494,90;405,90;784,10;673,50;1006,40;795,60;1003,70;439,60;712,70;956,60;926,50;536,20;542,30;307,00;416,90;518,10;852,30;989,30;1044,80;1027,20;786,70;719,00;808,70;529,10;434,30;588,10;807,90
Exported farmed fish;361,20;234,40;257,80;231,40;273,20;256,60;174,90;312,60;244,60;265,50;358,60;343,10;480,30;254,60;372,60;409,10;434,90;405,30;237,30;434,80;314,40;462,40;408,30;465,50;487,80;368,90;495,90;514,30;367,70;279,90;233,50;337,80;347,00;569,40;480,00;405,60;379,20;518,10;503,70;509,80;359,20;284,30;387,10;554,90;377,30;518,40;650,40;398,70;819,50;624,50;607,80;596,20;523,10;513,90;388,60;703,10;606,00;493,20;598,70;531,50;647,40;722,00;677,50;1155,50;829,40;637,00;395,20;1116,90;675,00;920,60;912,50;931,80;1038,10;1443,00;1040,00;1033,10;1977,10;1381,50;478,10;1409,60;902,50;1008,50;977,20;1348,50;1583,20;1560,20;1018,00;870,80;1488,60;656,50;681,30;776,20;1015,70;941,60;1369,80;1248,60;2413,50;1961,10;2162,10;2099,10;2310,80;1202,60;1584,00;1690,50;1398,40;3092,20;2920,90;2123,20;2559,50;2925,10;2739,20;1669,30;1707,40;1934,30;1498,70;1517,40;3922,70;2610,90;2269,30;3959,80;3107,90;2916,50;4858,20;2142,20;2618,80;3219,60;2783,70;2760,40;2629,10;3463,80;2496,50;3200,50;5883,00;2695,50;6620,40;1986,70;2820,20;2715,80;2265,20;3416,50;5044,10;4371,50;5519,10;5485,70;4505,50;5376,50;5900,10;1494,20;1801,60;2373,70;1609,90;2068,80;3530,40;5130,70;8775,30;3539,20;6605,50;6679,00;3208,70;3083,80;3513,30;2157,30;2022,00;3392,00;4633,40;6608,80;6019,10;5882,80;7992,10;6582,50;3227,90;3101,50;3056,30;3266,20;2950,10
Exported manufacturing products;25206,50;25648,40;30229,90;21550,70;35154,40;31103,60;27171,70;28069,00;31973,00;24607,50;27593,00;27200,60;27520,10;28292,90;28432,40;26336,70;28229,40;29235,20;23376,10;29080,50;24308,30;31097,40;29007,40;26234,80;32484,40;23617,80;25000,90;27072,60;24085,50;22320,20;29329,50;24512,40;25812,60;27031,20;25937,50;21940,40;27547,30;21052,10;22583,50;16995,10;28300,50;21567,50;29256,90;25425,30;28653,50;33232,10;27907,70;27649,10;30958,20;27862,30;33526,70;31727,20;28545,30;26819,20;29242,40;25348,30;23030,30;24582,70;25300,50;24206,90;21346,40;22015,80;22730,40;25387,20;22046,80;25640,80;22018,80;19316,40;23812,10;22078,60;20441,60;23582,10;21446,80;20687,20;21876,70;22322,00;23823,20;24762,20;21920,60;24349,80;22244,50;26991,00;24643,50;24873,70;26883,30;23469,60;25688,00;24375,30;24206,10;29477,00;26648,20;26385,00;26840,20;30265,10;29551,30;27656,60;30363,20;22436,70;24513,30;25309,00;31049,80;24584,00;24938,40;24353,10;23239,30;27873,50;26739,40;22134,00;24867,00;21177,50;26200,30;26614,50;25862,00;20293,00;24884,70;21027,70;25386,10;29321,70;23696,20;29150,40;26747,80;25855,60;26656,90;29115,20;27962,30;26107,40;42367,40;30422,00;37108,90;40345,50;37640,70;46240,60;43599,40;38131,00;49478,60;39518,10;51385,90;49696,60;49236,00;55909,30;50198,30;42066,70;42124,70;59171,20;43699,40;40508,60;46210,10;37268,70;45091,30;45309,30;38367,50;38322,40;44049,10;37425,80;39968,20;42242,30;40238,60;40413,70;35272,20;39466,00;47854,70;40408,10;49398,10;40263,00;47765,80;39842,90;46197,60;46651,60;53809,10;43172,80;45525,30;42181,20;44596,30;36230,00;39941,50
Exported aluminium and aluminium products;18015,00;17800,40;22800,80;14399,30;26339,00;23554,00;17729,10;18098,10;23187,80;15206,30;17843,70;17975,20;19811,20;20448,50;19600,50;18136,10;19626,10;18520,50;15277,20;19864,70;16330,40;20193,90;19230,50;18258,40;22969,90;16454,80;17922,30;18525,00;17276,10;15070,40;21709,50;17546,00;17563,30;17568,70;18274,30;14426,80;18746,80;14284,90;14557,90;11149,10;20569,30;14238,60;20494,00;18014,80;20220,20;24183,40;19801,00;18575,80;24151,60;20832,60;25990,10;23942,60;20374,60;18594,70;20790,20;18252,90;15291,10;16833,90;16780,40;16561,90;14083,30;14409,80;16096,10;16865,00;14459,80;17874,80;14746,20;12930,70;15739,00;14953,30;13554,00;16450,50;15485,30;14814,00;16252,90;16843,10;16605,90;18560,00;15383,70;17775,10;14572,70;19443,70;18259,80;18897,20;18049,50;16392,70;19016,60;17879,40;17475,30;22215,50;19065,60;19686,60;19650,10;18843,90;20053,10;21803,50;20768,70;15609,70;17825,20;17864,60;22356,00;16855,20;16165,60;18623,00;15200,50;16243,50;18042,90;16341,80;17274,00;14676,40;18720,40;19204,90;18567,50;13322,50;17489,10;14112,40;17734,60;19298,00;15477,50;21797,20;20092,40;18452,00;18294,70;22518,10;20278,50;16553,80;32301,70;20865,90;26231,50;30386,50;24605,00;33854,00;32688,00;27689,00;33188,20;29270,00;38538,60;36635,00;38077,60;39589,40;31521,60;24559,70;27364,10;43891,50;28169,20;28086,00;30479,50;26929,90;28699,00;31425,20;25498,90;23280,90;24737,60;21741,90;24639,30;30035,40;25315,80;24730,40;21976,60;25806,40;29957,10;21491,20;32727,50;23934,00;25453,70;22161,00;31978,60;27131,50;36912,70;26461,80;28108,80;28628,70;31468,30;25406,90;25834,20
Exported ferro-silicon;1919,60;2228,30;1904,40;1511,10;2813,90;1568,60;1784,70;1344,10;1977,60;2614,40;2215,90;2089,70;2240,10;1935,80;1639,90;1348,20;1770,10;2446,70;1882,40;1434,60;1531,10;2014,40;2002,50;1431,20;1726,30;1698,20;1763,60;1841,60;1614,80;1403,90;1536,50;1671,20;2087,10;1312,60;1345,40;2013,40;1970,70;1821,60;1491,50;649,30;1402,60;1247,80;1793,40;1698,50;1707,00;1707,10;1486,80;1577,10;1850,80;1726,40;1218,90;1616,80;2052,00;1397,30;1866,90;1412,80;1544,20;1910,50;1313,20;1129,00;1212,30;1743,10;1304,70;1264,30;1498,70;1287,90;1708,40;1137,80;1363,50;1189,70;1307,00;1146,60;1186,10;930,60;1115,40;1411,20;1129,40;890,90;1327,20;1115,50;1325,30;1651,50;1087,30;1453,60;1451,00;1445,10;1224,60;1558,60;1595,20;1507,90;1740,00;1878,90;1428,60;1460,20;2139,10;1136,10;2211,10;1534,50;1745,90;1499,00;1908,50;1163,90;1292,40;918,40;934,10;1131,40;1248,80;615,50;1904,90;1041,70;2009,70;1439,60;1492,30;584,10;1031,70;1609,80;1019,90;1601,90;1221,10;1630,30;1514,70;1507,10;1443,10;1701,40;1453,90;1731,70;2413,30;1799,90;2147,10;2580,90;2221,90;3494,10;2874,30;3409,80;3854,70;3876,40;3519,80;5049,90;3427,30;3991,40;5376,80;4066,00;3550,80;3783,70;2330,60;2619,10;4031,80;2763,80;2172,50;3425,50;2269,60;2017,70;3068,30;2153,40;1118,00;1695,70;1863,50;1688,70;1366,60;2922,50;2361,80;2128,70;1897,00;1610,10;3117,60;2569,80;1949,10;2717,50;2225,40;1308,80;1779,40;1241,30;1538,50;1396,90;2233,80
Exported medicine and medical prod,;2015,90;1199,10;1766,80;1691,00;1617,20;1326,20;1842,30;3213,10;1781,30;1228,60;2072,40;1706,40;1573,50;1432,80;1376,30;1338,90;2008,20;1679,50;1210,00;2530,50;2081,10;3662,20;2138,50;2218,50;1936,70;1590,40;1859,20;1776,50;1125,40;1396,20;1142,20;1287,90;1867,00;1778,30;1662,40;1637,60;1550,10;1368,50;1502,80;1564,10;1330,50;1481,20;1647,80;1052,40;1797,00;2290,20;2020,40;1707,60;1660,80;1726,70;1922,60;2054,70;1755,50;1812,00;1746,00;1067,40;1808,30;1881,10;2038,30;1667,50;1603,10;1729,70;1542,10;2502,40;1636,80;2486,70;1572,60;1250,20;1936,10;1724,10;1590,40;1747,20;1399,50;1601,20;1363,40;671,50;976,00;1040,80;708,90;1036,50;1830,40;1285,60;1312,10;1046,00;1070,40;1192,40;1061,40;828,10;910,30;1001,50;868,00;637,70;1509,60;1123,80;996,00;569,50;1192,50;1037,20;1175,30;730,20;542,40;1183,50;1403,10;366,70;541,80;2037,60;2250,90;659,10;1339,40;860,90;647,60;966,50;688,40;1735,80;1167,70;1036,30;1380,50;2117,40;1209,10;1191,20;769,00;1040,80;1121,50;972,40;1411,60;716,50;1169,60;1045,60;1162,50;1404,00;1290,30;1220,80;1289,50;1019,80;1514,10;1041,00;1840,30;1205,80;885,70;1680,00;2440,20;3916,70;2179,90;4384,40;3458,60;2636,10;3751,40;2429,50;6941,90;3882,10;4157,30;4028,70;4762,80;4552,80;5707,10;4838,30;5058,20;5589,20;6413,30;5070,00;6533,50;5569,50;6947,50;6950,90;7619,50;8494,70;6266,50;8525,80;7318,40;9622,10;9717,20;5072,10;4944,90;3607,10;4736,30
Exported other manufacturing products;3256,00;4420,50;3757,90;3949,20;4384,30;4654,90;5815,60;5413,70;5026,20;5558,30;5460,90;5429,30;3895,30;4475,80;5815,70;5513,60;4825,10;6588,50;5006,60;5250,70;4365,70;5226,90;5635,90;4326,80;5851,60;3874,40;3455,80;4929,60;4069,30;4449,70;4941,40;4007,30;4295,20;6371,60;4655,40;3862,50;5279,70;3577,20;5031,30;3632,60;4998,10;4599,80;5321,70;4659,60;4929,40;5051,50;4599,60;5788,60;3295,10;3576,70;4395,10;4113,10;4363,30;5015,30;4839,30;4615,20;4386,70;3957,30;5168,70;4848,50;4447,80;4133,20;3787,60;4755,50;4451,50;3991,40;3991,60;3997,80;4773,60;4211,50;3990,20;4238,00;3375,90;3341,40;3145,00;3396,30;5111,90;4270,50;4500,90;4422,90;4516,10;4610,20;3984,30;3476,90;6312,50;4439,40;4385,40;4109,30;4225,30;4752,10;4974,70;4181,80;4251,90;8837,10;6363,10;4147,50;6190,80;4255,30;3767,00;5215,20;6242,90;5381,40;6077,20;4444,90;6562,80;8460,90;5196,80;4517,70;4348,80;4598,50;4822,60;5003,60;5113,80;4650,60;5196,20;4269,20;5251,10;6304,50;5788,50;4531,70;4371,80;4855,70;5797,50;3923,20;4818,30;7105,50;6482,80;6710,70;7567,90;5974,10;9523,50;7671,70;6747,70;6012,40;10921,70;5330,60;7487,20;6806,00;6845,40;10648,50;10859,70;9524,30;9029,90;7111,60;9741,10;7167,40;7947,40;5145,70;7277,90;6576,50;6441,70;8995,20;11480,40;8977,70;8503,90;5672,90;8001,10;8405,40;5515,60;5667,20;9002,20;11218,70;7826,10;7767,90;11575,10;6617,40;6003,40;8276,80;7352,50;5780,20;5919,90;7239,00;6644,60;5819,10;7137,20
Exported other products;1252,10;1182,00;7516,40;1231,30;1277,40;982,50;1214,00;2359,70;1379,80;1616,00;1203,90;2023,80;767,50;1540,90;940,30;1869,80;1579,80;1738,10;1059,30;1541,60;6279,90;1620,60;1021,30;1072,40;1140,40;820,40;1264,50;782,90;912,80;1034,10;2941,80;1108,20;1161,80;1048,90;1146,20;2715,00;1716,90;3739,30;943,20;802,50;3478,10;3716,10;4755,70;1100,10;966,60;1400,40;1037,20;1283,10;1020,20;809,30;1172,70;747,70;2335,70;1155,50;1317,30;2373,80;1203,40;1003,50;948,40;3082,60;2754,10;682,60;900,30;754,10;2604,80;1036,10;1439,60;1670,50;1320,20;2334,90;1307,50;1153,50;839,70;2611,00;976,50;859,50;1393,90;1369,00;3284,20;680,80;1174,70;5906,80;1005,90;2342,90;1339,80;1563,50;937,40;936,50;1718,00;1003,70;4789,80;1408,10;1451,40;2333,20;1346,00;2062,10;20863,50;1019,90;4080,20;1050,80;1553,20;4253,40;1346,30;2513,50;1881,10;1813,90;1668,40;1089,10;1109,10;1694,70;1262,60;797,60;1315,90;1591,20;1008,10;907,50;1453,20;1602,00;1300,90;2528,70;1693,70;1241,00;2195,90;2281,90;2372,50;2126,20;1316,60;2982,40;2634,40;1235,70;2654,90;1654,50;1268,00;1672,70;1485,60;1309,60;3476,60;4386,40;1195,50;1588,70;3094,30;1406,80;1964,60;1810,60;4664,40;1595,40;1668,80;2148,00;2111,30;2135,70;1598,70;1555,30;4981,40;1505,70;5247,50;2644,90;2414,70;2296,10;1728,70;1452,10;2422,90;8464,30;1740,50;1214,40;2432,80;7215,20;2521,30;2104,10;2160,30;1288,20;1530,00;1505,20;3030,10;1528,80;1274,70
Exported ships and aircrafts;45793,00;45893,00;5784,50;0,00;0,00;45914,00;45768,00;800,50;0,00;0,00;0,00;1072,90;0,00;0,00;0,00;76,30;349,10;625,60;0,00;0,00;5250,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1675,00;45737,00;0,00;45880,00;0,00;1712,50;179,30;2733,50;0,00;0,00;2424,40;2886,00;3673,70;0,00;2,00;0,00;0,00;0,00;0,00;0,00;44,70;0,00;1182,00;440,00;114,30;0,00;0,00;0,00;0,00;2037,00;2086,00;0,00;0,00;45765,00;944,70;0,00;531,10;0,00;45903,00;0,00;57,20;52,90;33,30;1924,70;172,70;164,20;6,00;438,60;2188,40;0,00;45826,00;4981,70;0,00;1395,10;0,00;45748,00;0,00;0,00;0,00;0,00;2947,80;0,00;152,90;0,00;0,00;0,00;19427,60;0,00;3125,90;0,00;411,00;3071,70;0,00;674,20;674,20;45785,00;0,00;0,00;0,00;0,00;265,40;0,00;76,00;0,00;126,50;43,20;0,00;0,00;0,00;1050,90;738,50;46,30;891,10;913,60;856,50;773,30;45764,00;1761,30;643,80;0,00;790,60;45701,00;0,00;0,00;45791,00;38,40;1324,30;1998,00;102,00;45694,00;140,40;0,30;45785,00;45852,00;344,10;0,00;45866,00;60,10;0,00;53,60;0,30;32,30;131,10;55,40;3094,30;1121,30;0,00;192,80;50,20;0,00;151,60;5318,50;0,00;0,00;0,00;4836,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Exported other products;1235,60;1157,20;1732,00;1231,30;1277,40;967,60;1192,60;1559,20;1379,80;1616,00;1203,90;950,90;767,50;1540,90;940,30;1793,50;1230,70;1112,50;1059,30;1541,60;1029,00;1620,60;1021,30;1072,40;1140,40;820,40;1264,50;782,90;912,80;1034,10;1266,90;1086,90;1161,80;1037,10;1146,20;1002,50;1537,60;1005,80;943,20;802,50;1053,70;830,10;1082,00;1100,10;964,60;1400,40;1037,20;1283,10;1020,20;809,30;1128,00;747,70;1153,70;715,50;1202,90;2373,80;1203,40;1003,50;948,40;1045,60;668,10;682,60;900,30;735,70;1660,10;1036,10;908,40;1670,50;1316,40;2334,90;1250,20;1100,60;806,40;686,30;803,80;695,30;1387,90;930,40;1095,90;680,80;1156,10;925,00;1005,90;947,80;1339,80;1562,10;937,40;936,50;1718,00;1003,70;1842,00;1408,10;1298,50;2333,20;1346,00;2062,10;1436,00;1019,90;954,30;1050,80;1142,30;1181,60;1346,30;1839,30;1206,90;1805,40;1668,40;1089,10;1109,10;1694,70;997,20;797,60;1239,90;1591,20;881,60;864,40;1453,20;1602,00;1300,90;1477,80;955,20;1194,70;1304,80;1368,30;1516,10;1352,90;1299,20;1221,10;1990,60;1235,70;1864,30;1641,40;1268,00;1672,70;1471,20;1271,20;2152,30;2388,40;1093,60;1582,50;2953,90;1406,50;1956,10;1795,90;4320,30;1595,40;1640,10;2087,80;2111,30;2082,20;1598,40;1523,10;4850,30;1450,30;2153,20;1523,70;2414,70;2103,40;1678,50;1452,10;2271,30;3145,80;1740,50;1214,40;2432,80;2378,30;2521,30;2104,10;2160,30;1288,20;1530,00;1505,20;3030,10;1528,80;1274,70
Total per month;171454,60;173324,70;176752,40;166139,70;166180,00;200662,00;199726,20;164143,10;186842,30;156731,50;159144,40;158933,60;141200,20;161838,40;165189,30;147316,50;165747,10;156449,40;141439,60;157485,20;165266,90;187825,40;162772,50;134629,30;166956,20;148240,40;151803,20;153881,40;129959,80;133328,90;165894,50;187554,20;164988,80;209287,80;163833,80;135733,70;144871,30;128757,20;135295,60;112326,60;159183,90;130165,90;166945,20;145075,80;165554,00;185111,00;152874,70;145892,10;150148,80;152975,60;190093,70;170068,50;165185,40;168043,80;156167,00;142882,00;143406,40;142082,40;154658,00;144187,70;137044,30;127772,00;131796,20;186107,20;139628,50;144182,40;131914,60;125775,80;193440,80;150416,30;124147,70;124515,10;112471,30;99124,40;119978,00;123600,70;145086,70;133419,40;116501,50;136996,40;187830,10;168239,40;136572,50;128105,90;145487,20;184410,70;137833,20;132506,70;156237,60;150787,20;151615,70;148008,70;151455,20;184560,00;162307,20;158512,50;228220,40;133037,20;156684,20;148502,80;188538,10;136568,40;153924,30;137185,20;153404,30;238208,20;153701,40;127366,10;138394,40;135049,50;167041,00;139993,90;157862,50;138497,00;139251,80;141868,00;190266,50;185323,20;151701,80;175774,40;146458,40;156501,40;183434,80;183499,00;183750,60;173185,50;249140,70;168585,20;208059,70;222195,00;214891,80;272823,70;221751,50;197966,90;302998,60;218386,80;275566,90;257932,40;225763,90;331912,80;275317,50;237685,50;277175,60;345800,90;233178,90;222239,40;307929,60;205514,10;247232,80;228956,80;192389,10;206132,70;265817,60;222975,40;257962,40;214748,00;230373,90;229917,60;189058,30;214985,30;263240,80;225532,40;244100,70;208219,60;257991,40;253916,70;243061,80;253851,00;272664,90;227941,40;234943,30;242882,10;235925,60;202213,30;213602,50
Number in M ISK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
